zipcode,poname,primaryruca,urbanicity,tract_geoid,weight,tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,white_pct,black_pct,asian_pct,mean_download_mbps,median_download_mbps,speed_std_mbps,mean_latency_ms,test_count,fcc_reported_mbps,speed_gap_mbps
94571,Rio Vista,7,Rural,06095253502,1.0,Census Tract 2535.02; Solano County; California,83856.0,4559.0,3035.0,583.0,82.0,6,95,253502,0.665716165825839,0.1278789208159684,0.0179864005264312,37.28724882733396,15.19006456782972,69.02766361208545,28.57334419551935,491.0,2000.0,1984.8099354321703
95671,Represa,1,Urban,06067008210,1.0,Census Tract 82.10; Sacramento County; California,111250.0,6161.0,4813.0,274.0,430.0,6,67,8210,0.781204349943191,0.0444732997889952,0.0697938646323648,,,,,,2000.0,
95673,Rio Linda,1,Urban,06067007209,1.0,Census Tract 72.09; Sacramento County; California,88869.0,3871.0,2950.0,45.0,71.0,6,67,7209,0.7620769826918109,0.0116249031258072,0.0183415138207181,158.3416416968754,95.96087145042272,152.53783153898883,18.878486830926082,1177.0,2000.0,1904.0391285495773
95678,Roseville,1,Urban,06061021003,1.0,Census Tract 210.03; Placer County; California,96956.0,6996.0,5343.0,209.0,369.0,6,61,21003,0.7637221269296741,0.0298742138364779,0.0527444253859348,130.1056497084118,74.46733422485386,142.62506790844452,24.71165057455157,14272.0,2000.0,1925.5326657751461
95680,Ryde,2,Suburban,06067009900,1.0,Census Tract 99; Sacramento County; California,76034.0,3808.0,1681.0,0.0,189.0,6,67,9900,0.4414390756302521,0.0,0.0496323529411764,,,,,,2000.0,
95683,Sloughhouse,2,Suburban,06067008601,1.0,Census Tract 86.01; Sacramento County; California,143125.0,5584.0,4613.0,233.0,191.0,6,67,8601,0.8261103151862464,0.0417263610315186,0.0342048710601719,113.2841216612701,64.97478298168865,130.98747989587883,12.389575833333334,1200.0,,
95690,Walnut Grove,2,Suburban,06067009900,1.0,Census Tract 99; Sacramento County; California,76034.0,3808.0,1681.0,0.0,189.0,6,67,9900,0.4414390756302521,0.0,0.0496323529411764,43.56514962799874,19.10691261142543,55.61966003492578,34.2266015037594,133.0,2000.0,1980.8930873885745
95693,Wilton,2,Suburban,06067009404,1.0,Census Tract 94.04; Sacramento County; California,180845.0,7235.0,3754.0,114.0,634.0,6,67,9404,0.5188666205943331,0.0157567380787836,0.0876295784381478,68.6780132469379,26.543528781514734,76.21785439719585,21.138896396396397,444.0,2000.0,1973.4564712184854
95742,Rancho Cordova,1,Urban,06067008706,1.0,Census Tract 87.06; Sacramento County; California,181802.0,2083.0,840.0,211.0,479.0,6,67,8706,0.4032645223235718,0.1012962073931829,0.2299567930868939,178.0660861701943,119.40010190062151,157.13986816953712,16.264290589232726,4718.0,2000.0,1880.5998980993786
95757,Elk Grove,1,Urban,06067009632,1.0,Census Tract 96.32; Sacramento County; California,121719.0,6623.0,1561.0,377.0,3090.0,6,67,9632,0.2356937943530122,0.0569228446323418,0.4665559414162766,149.99373533117767,80.86978567817833,154.32718696156562,22.14771107915147,19469.0,2000.0,1919.1302143218218
95758,Elk Grove,1,Urban,06067009643,1.0,Census Tract 96.43; Sacramento County; California,128582.0,6295.0,2391.0,820.0,1613.0,6,67,9643,0.379825258141382,0.1302621127879269,0.2562351072279587,126.14434012934075,76.24666391467326,135.4709608528441,16.756321686337778,23554.0,2000.0,1923.7533360853267
95762,El Dorado Hills,1,Urban,06017030710,1.0,Census Tract 307.10; El Dorado County; California,165542.0,6091.0,4937.0,0.0,512.0,6,17,30710,0.8105401411919225,0.0,0.0840584468888524,129.89003051941611,47.84051899268544,149.08548429163204,20.17617924441585,10879.0,2000.0,1952.1594810073145
95811,Sacramento,1,Urban,06067001103,1.0,Census Tract 11.03; Sacramento County; California,41051.0,1441.0,868.0,229.0,125.0,6,67,1103,0.6023594725884802,0.1589174184594032,0.0867453157529493,118.14245949315614,58.68021723698605,134.08673264033155,23.37517171203256,7862.0,2000.0,1941.319782763014
95814,Sacramento,1,Urban,06067001103,1.0,Census Tract 11.03; Sacramento County; California,41051.0,1441.0,868.0,229.0,125.0,6,67,1103,0.6023594725884802,0.1589174184594032,0.0867453157529493,130.836475981412,70.76361624186677,141.8364227787497,20.430214718505425,7922.0,2000.0,1929.2363837581333
95815,Sacramento,1,Urban,06067006902,1.0,Census Tract 69.02; Sacramento County; California,63611.0,3523.0,1056.0,217.0,480.0,6,67,6902,0.2997445359068975,0.0615952313369287,0.136247516321317,115.74900011781686,48.61549276981263,134.82743101766266,24.108969666211205,25615.0,2000.0,1951.3845072301874
95816,Sacramento,1,Urban,06067001400,1.0,Census Tract 14; Sacramento County; California,64724.0,2737.0,1707.0,226.0,152.0,6,67,1400,0.6236755571793935,0.082572159298502,0.0555352575812933,99.65454074847253,40.69078062069916,126.11918229696634,25.733376656227414,16604.0,2000.0,1959.3092193793009
95817,Sacramento,1,Urban,06067001800,1.0,Census Tract 18; Sacramento County; California,69181.0,5572.0,2485.0,652.0,790.0,6,67,1800,0.4459798994974874,0.1170136396267049,0.1417803302225412,150.694267408325,97.7409852444912,147.48416773918407,17.122563471355644,8815.0,2000.0,1902.2590147555088
95818,Sacramento,1,Urban,06067002300,1.0,Census Tract 23; Sacramento County; California,146875.0,3306.0,2386.0,97.0,161.0,6,67,2300,0.7217180883242589,0.029340592861464,0.0486993345432546,132.81839269970826,73.0376119638188,141.33100213764232,16.384164863695368,6933.0,2000.0,1926.9623880361812
95819,Sacramento,1,Urban,06067000200,1.0,Census Tract 2; Sacramento County; California,157109.0,3901.0,2938.0,38.0,235.0,6,67,200,0.7531402204562933,0.0097410920276852,0.0602409638554216,138.75413168991514,86.2574849282257,140.55326129947386,17.04411776788771,8763.0,2000.0,1913.7425150717743
95820,Sacramento,1,Urban,06067003002,1.0,Census Tract 30.02; Sacramento County; California,84917.0,4010.0,1951.0,214.0,258.0,6,67,3002,0.4865336658354114,0.0533665835411471,0.0643391521197007,96.18777887066726,34.76725959525895,126.19545716701326,24.63606025479169,17426.0,2000.0,1965.232740404741
95821,Sacramento,1,Urban,06067006101,1.0,Census Tract 61.01; Sacramento County; California,61592.0,4905.0,2036.0,569.0,435.0,6,67,6101,0.4150866462793068,0.1160040774719673,0.0886850152905198,103.28256995240186,44.23498893538962,126.19912597271023,23.837378226884706,38892.0,2000.0,1955.7650110646105
